loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
0,20,3620.0,58.9,61.44,,2.0,2.0,10841621092.4526,106839725154.485,
2,12,5800.0,102.0,56.86,2.0,,1.0,10864822458.797,106633839185.724,2.0
0,20,6420.0,107.0,60.0,,3.0,2.0,10827409562.4012,106819098667.069,
0,0,2600.0,85.0,30.59,,2.0,2.0,10705936316.611423,106599100126.6579,
0,13,21500.0,139.0,154.68,,3.0,1.0,10782189768.9462,106719127406.32,
0,2,11500.0,120.0,95.83,,3.0,1.0,10794728804.169,106720506499.974,
2,18,12500.0,208.0,60.1,5.5,7.0,1.0,10714545032.9879,106736968072.872,
0,20,2880.0,55.0,52.36,,2.0,,10841191111.609316,106839425963.9715,
0,13,14500.0,90.0,161.11,,2.0,1.0,10782703349.9716,106719760173.826,
5,20,7000.0,47.0,149.0,1.0,,1.0,10842116828.067486,106840045447.47765,1.0
0,18,4000.0,73.0,54.8,,2.0,1.0,10728272757.1056,106701271455.364,
0,20,2200.0,59.0,37.29,,2.0,1.0,10841528115.435598,106839766260.882,
0,13,20000.0,70.0,285.71,,2.0,1.0,10772208762.7296,106713043085.681,
0,20,3280.0,55.0,59.66,,2.0,1.0,10840218793.36613,106839932319.51486,
6,13,16300.0,98.9,164.81,4.5,,1.0,10781625324.861898,106754614748.061,
0,20,3900.0,74.0,52.7,,2.0,2.0,10840233774.5878,106839966386.396,
0,2,11000.0,120.0,91.67,,3.0,1.0,10794683091.548944,106720992497.09232,
0,23,5900.0,96.0,61.46,,2.0,,10804076629.8076,106615956233.3,
0,9,24000.0,54.0,444.44,,,,10778573233.246716,106707480552.84282,
0,20,3730.0,69.0,54.06,,2.0,2.0,10838228018.47126,106839985593.38309,
0,0,2470.0,85.0,29.06,,2.0,,10706168162.05166,106600269983.96771,
0,13,10000.0,64.0,156.25,,1.0,1.0,10769598601.5453,106715921516.246,
